county,state_full,cumulative_cases,State,county_pop,percent_cases
Barbour County,Alabama,7582,AL,24706.0,0.30688901481421516
Chilton County,Alabama,13073,AL,45884.0,0.2849141312875948
Choctaw County,Alabama,2260,AL,12439.0,0.18168663075809952
Clay County,Alabama,5223,AL,14198.0,0.3678687139033667
Cleburne County,Alabama,4460,AL,15346.0,0.2906294799947869
Colbert County,Alabama,21616,AL,58033.0,0.37247772818913377
Henry County,Alabama,5915,AL,17655.0,0.3350325686774285
Jefferson County,Alabama,240736,AL,665409.0,0.36178651025158964
Lauderdale County,Alabama,30743,AL,95878.0,0.3206470723210747
Lee County,Alabama,48087,AL,180773.0,0.2660076449469777
Limestone County,Alabama,32491,AL,110900.0,0.29297565374211
Marengo County,Alabama,6118,AL,18745.0,0.3263803680981595
Monroe County,Alabama,6796,AL,19404.0,0.3502370645227788
Montgomery County,Alabama,74623,AL,226361.0,0.32966367881392994
Randolph County,Alabama,6593,AL,22479.0,0.2932959651230037
Shelby County,Alabama,78788,AL,230115.0,0.3423853290745931
Bethel Census Area,Alaska,13345,AK,18257.0,0.7309525113655037
Bristol Bay Borough,Alaska,0,AK,865.0,0.0
Dillingham Census Area,Alaska,2270,AK,4723.0,0.48062672030489095
Fairbanks North Star Borough,Alaska,32483,AK,95356.0,0.34064977557783466
Kodiak Island Borough,Alaska,5720,AK,12720.0,0.449685534591195
Sitka City and Borough,Alaska,3399,AK,8382.0,0.40551181102362205
Yukon-Koyukuk Census Area,Alaska,1802,AK,5179.0,0.347943618459162
Apache County,Arizona,37934,AZ,65432.0,0.5797469128255288
Maricopa County,Arizona,1545350,AZ,4551524.0,0.33952364087281534
Benton County,Arkansas,80710,AR,302863.0,0.2664901292003315
Clay County,Arkansas,5291,AR,14265.0,0.37090781633368386
Columbia County,Arkansas,7102,AR,22216.0,0.3196795102628736
Crawford County,Arkansas,19044,AR,61075.0,0.31181334424887436
Faulkner County,Arkansas,43861,AR,127665.0,0.34356323189597776
Fulton County,Arkansas,3298,AR,12382.0,0.26635438539815864
Grant County,Arkansas,5525,AR,18160.0,0.3042400881057269
Independence County,Arkansas,13051,AR,37945.0,0.34394518381868494
Izard County,Arkansas,4830,AR,14048.0,0.34382118451025057
Lincoln County,Arkansas,5530,AR,12916.0,0.4281511303809229
Newton County,Arkansas,2093,AR,7078.0,0.29570500141282846
Phillips County,Arkansas,5920,AR,15304.0,0.3868269733403032
Polk County,Arkansas,4738,AR,19337.0,0.24502249573356777
Prairie County,Arkansas,2482,AR,8069.0,0.3075969760812988
Pulaski County,Arkansas,129635,AR,399145.0,0.3247817209284846
Randolph County,Arkansas,6681,AR,18837.0,0.3546743111960503
St. Francis County,Arkansas,8603,AR,22451.0,0.38319005834929404
Searcy County,Arkansas,2613,AR,7918.0,0.3300075776711291
Union County,Arkansas,11612,AR,37752.0,0.3075863530408985
Amador County,California,11705,CA,41412.0,0.2826475417753308
Contra Costa County,California,299781,CA,1156966.0,0.2591096021836424
El Dorado County,California,39610,CA,192646.0,0.2056102903771685
Kings County,California,67803,CA,152981.0,0.44321190213163725
Lassen County,California,11368,CA,29904.0,0.3801498127340824
Mendocino County,California,21893,CA,89783.0,0.24384348930198368
Nevada County,California,22826,CA,102293.0,0.2231433235900795
Plumas County,California,4330,CA,19351.0,0.22376104594077825
Riverside County,California,782912,CA,2473902.0,0.3164684777327477
San Benito County,California,18997,CA,67579.0,0.28110803652022076
San Luis Obispo County,California,75375,CA,282013.0,0.2672749128586271
Santa Barbara County,California,121122,CA,443837.0,0.27289748263439056
Santa Clara County,California,504864,CA,1870945.0,0.26984438345328166
Siskiyou County,California,9019,CA,43660.0,0.20657352267521759
Stanislaus County,California,169992,CA,551275.0,0.3083615255543966
Tuolumne County,California,18082,CA,54531.0,0.33159120500265904
Ventura County,California,240803,CA,832605.0,0.2892163751118478
Unallocated Colorado,Colorado,271,,,
Adams County,Colorado,167894,CO,527575.0,0.31823721745723355
Alamosa County,Colorado,6037,CO,16592.0,0.3638500482160077
Archuleta County,Colorado,3599,CO,14003.0,0.25701635363850606
Baca County,Colorado,1063,CO,3432.0,0.3097319347319347
Broomfield County,Colorado,18580,CO,76121.0,0.2440850750778366
Chaffee County,Colorado,5722,CO,20223.0,0.28294516144983434
Cheyenne County,Colorado,393,CO,1732.0,0.22690531177829099
Conejos County,Colorado,2334,CO,7579.0,0.3079561947486476
Costilla County,Colorado,990,CO,3603.0,0.27477102414654453
Custer County,Colorado,846,CO,5335.0,0.15857544517338332
